A̱o,Crecimiento PIB PER,IPC PER,Crecimiento PIB COL,IPC COL,Crecimiento PIB MEX,IPC MEX,Crecimiento PIB CHL,IPC CHL
1971,4.59053992759885,6.79063936495415,5.9607279462907,11.9402616979216,3.76246768496019,5.46902899376838,9.42268621105768,20.0522312040536
1972,3.47753512310473,7.21972216770545,7.66914754440097,12.4444589907729,8.22880731243893,4.94369236377875,-1.01994779412207,77.7957404755204
1973,6.27693475562022,9.48905109503398,6.72295496919133,22.5296486781843,7.86111986064981,12.0819394612938,-5.02924835602624,352.810986573029
1974,9.38683491938303,16.8916666665703,5.74575718912141,23.8709573656697,5.77682723020637,23.7840154425787,2.38214933308889,504.738541215978
1975,4.30086316548426,23.6187352963326,2.32325528115796,23.4375025650555,5.74448504862441,14.9445346409267,-12.9121010508782,374.735274232635
1976,1.44711099517411,33.4832756634566,4.7283687345395,19.8312249167931,4.41744413625752,15.8247224893471,3.83258400458359,211.924302225904
1977,0.349063699303812,38.0540914196793,4.15850545346419,33.802818357982,3.39063970657743,29.0641247103461,10.4446863789668,91.9541325565106
1978,-2.64250297882154,57.8487826251505,8.4699008376688,17.7631590853462,8.95694232786374,17.4572925678265,7.70110360254199,40.0872246313854
1979,4.09075057410003,66.6944229664876,5.37911898820207,24.1340757440456,9.69817013704164,18.1912462987643,8.41830468717792,33.3892190102251
1980,5.94333539830841,59.1450712444914,4.08735367550767,26.5526531495356,8.75662242586299,26.3516513562834,7.986620757061,35.1383405330485
1981,5.55204181484046,75.4332687576064,2.27687274512178,27.4537624347993,9.58584115454994,27.9337625982399,6.52537036641591,19.6868327084319
1982,-0.2227234441863,64.4481585387929,0.948420786604515,24.7209882528585,-0.0495863656386035,58.9134198531048,-11.0143050601563,9.94102693041838
1983,-10.408085798297,111.150635209157,1.57395603843689,19.5973170624765,-4.62412795987231,101.874938435992,-5.01742052542426,27.2571946726203
1984,3.60828653816966,110.208519562543,3.35068373940706,16.1616171361426,3.51341334932273,65.4488071277602,4.1036832392324,19.8602056602627
1985,2.06113206625895,163.399505243688,3.1071061957296,24.090174368125,1.91921578613494,57.7484484008702,4.00991620253153,30.7034989096151
1986,9.42596236073652,77.9210255473595,5.82407613745866,18.8424631612406,-3.92995990782299,86.2333169923538,5.37769232259177,19.4768379232583
1987,9.72614643050372,85.8223062381846,5.36893214821323,23.302028364018,2.06336322631584,131.82738392309,6.46046852820268,19.8808457201904
1988,-9.44127344629392,667.019328585961,4.06417324490376,28.1083969771704,1.21826122938586,114.162258549066,7.34511045416919,14.684351250082
1989,-12.3120414471296,3398.67901005332,3.41409610966596,25.8675480831988,3.62544873456009,20.0078767139978,9.92338289722963,17.0279367308961
1990,-4.98256353646605,7481.66361124526,4.28199833053058,29.1520245976215,5.25004329944582,26.6516725646771,3.33356547444561,26.0364811362365
1991,2.2192591027909,409.530166622023,2.00160759559029,30.3878204854436,3.97590497138043,22.662359455061,7.80439218636249,21.7844124277756
1992,-0.540509124723926,73.5282942442641,4.04492943933556,27.0106266231361,3.56861354412243,15.5078962533573,11.166707732399,15.4258064688928
1993,5.24357700773291,48.5799864468885,5.38540993901029,22.4424828533275,2.86699945461075,9.75146045357553,6.5887838266316,12.7277669490964
1994,12.3083661848445,23.7369050565046,5.81466190724336,22.8462417553045,4.39412788764169,6.96581237191123,5.03019797856734,11.4431196444973
1995,7.41139504735119,11.1287029707089,5.20243759278655,20.8917930194849,-5.91029962358286,34.9992712889592,8.93329586928566,8.23263034116105
1996,2.79897307912609,11.5379424115177,2.05585471287195,20.7975755127402,6.21829715869302,34.3783832235168,6.80291659568033,7.35911781788776
1997,6.47682442079709,8.56218948953653,3.43029367788374,18.4700217119089,7.19887615284711,20.6256287259247,7.39173926780252,6.13386464357926
1998,-0.391537555833821,7.24782175213469,0.569784088434517,18.6769799276672,6.18507893082885,15.9283950119353,4.18088662724911,5.11024954517559
1999,1.49491064308833,3.46965996293019,-4.20401524244947,10.8736870857471,2.75503039300564,16.5856169707538,-0.273631397756063,3.33687917526016
2000,2.69437139806912,3.75733833344474,2.92486148176778,9.22534818585366,5.02928399378261,9.49156149435403,4.9716214885003,3.84327295706575
2001,0.617892325624297,1.97709878502053,1.67789830787579,7.96556090304834,-0.450845253215945,6.36773806235037,3.154034924374,3.56910053001458
2002,5.45352893818767,0.193135003853722,2.50398046659659,6.35150728778872,-0.236588001922641,5.03072733151295,3.20279913985533,2.48939816650708
2003,4.16502313666112,2.25937753363072,3.91827190322513,7.1297886294186,1.18554486144255,4.54690012118718,4.72324526681116,2.81017875743615
2004,4.95820320611745,3.66247320092233,5.33302206759905,5.90402005546502,3.56544103201486,4.68840884843143,6.67425416745972,1.05473871403513
2005,6.28506032509601,1.61630193862544,4.82876110773741,5.05101962689696,2.11324711473297,3.98805714597437,5.83704571525745,3.05257621387847
2006,7.5288990440594,2.00225801248819,6.71686869844402,4.29342363628927,4.80501352193184,3.62946762439132,6.04999082904382,3.39201733699409
2007,8.5183877690955,1.77998644680372,6.73819469090975,5.54438485815156,2.07786393942817,3.96684905458235,5.16823098722429,4.40779938398042
2008,9.1265683014642,5.78587598206755,3.28344618616541,6.99688495554511,0.943331858052289,5.12498274575896,3.7893928023371,8.71626873039613
2009,1.0958236592427,2.936231535967,1.13964864548062,4.20251661216482,-6.29525055291316,5.29735584228856,-1.1180372326977,0.353045178360957
2010,8.33245910749577,1.52832059732901,4.49465897070922,2.27200227892008,4.9713345620779,4.15672722680174,5.85165101730949,1.41071107954317
2011,6.32719240161117,3.36931095333853,6.94789198173555,3.4150334477625,3.44404507835114,3.40737824605742,6.22389678693851,3.34121694259301
2012,6.13972470560435,3.61121294940163,3.91263576716115,3.16930188840055,3.55321075014902,4.11150981070289,6.15534002096459,3.00744840213047
2013,5.85251821084928,2.76789666082002,5.13399351995672,2.01699224310383,0.852101564092919,3.80639069747204,3.30850824469113,1.7895555398459
2014,2.38215737180541,3.41194579807465,4.49903000110972,2.89883787761738,2.50376350288664,4.01861608078679,1.79264947361806,4.71867527854663
2015,3.25224477218451,3.39809194746308,2.95590137527523,4.9898311584953,2.70232342550646,2.72064064964023,2.15194249853634,4.34877353217053
2016,3.95331871520767,3.55717663556279,2.08738250162794,7.51346024627675,1.77249323408108,2.8217078474766,1.75303874553305,3.78619355893118
2017,2.51883544233135,2.99490045809443,1.35936086788746,4.31431325695011,1.87172852475888,6.04145724018986,1.35769537797211,2.18271846868519
2018,3.969351341365,1.50915423024742,2.56432428277704,3.24056932930569,1.97208211117706,4.89935015356551,3.99002947521676,2.43488981353057
2019,2.24063176875049,2.25212191358027,3.18685539245533,3.52301932741447,-0.278148781271128,3.63596142127046,0.743130031576072,2.55754475703327
2020,-10.8696407826493,2.00241205759292,-7.25229907492306,2.52663500084706,-8.65158681905974,3.39683415570007,-6.14524685814565,3.04549084804334
2021,13.4175302909947,4.27166381536798,11.0161932669779,3.49505757399448,5.83782952301841,5.68920847683753,11.7374310662749,4.52456838259121
2022,2.68387143477631,8.33370630096231,7.25656287393603,10.1772313546166,3.89823146126129,7.8962761916855,2.44040340034618,11.6438667110561
